gene,local_uniprot,local_protein_name,local_ec_number,local_mass_da,local_organism
GA0070618_1416,A0A1C4VNK4,Membrane protein insertion efficiency factor,,13923,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1417,A0A1C4VNY9,Uncharacterized protein,,7603,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1418,A0A1C4VNH6,"Uncharacterized membrane protein YccF, DUF307 family",,14089,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1419,A0A1C4VP20,"Multisubunit sodium/proton antiporter, MrpG subunit",,12458,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1420,A0A1C4VP92,"Multisubunit sodium/proton antiporter, MrpF subunit",,8830,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1421,A0A1C4VNK3,"Multisubunit sodium/proton antiporter, MrpE subunit",,22592,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1422,A0A1C4VNP3,"Multisubunit sodium/proton antiporter, MrpD subunit",,54371,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1423,A0A1C4VNV2,"Multisubunit sodium/proton antiporter, MrpC subunit",,15989,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1424,A0A1C4VNQ1,"Multisubunit sodium/proton antiporter, MrpA subunit /multisubunit sodium/proton antiporter, MrpB subunit",,98346,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1425,A0A1C4VPA8,Voltage-gated sodium channel,,34530,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1426,A0A1C4VPA9,Polyketide cyclase / dehydrase and lipid transport,,16191,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1427,A0A1C4VP01,Methyltransferase domain-containing protein,,27270,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1428,A0A1C4VP22,"Geranylgeranyl diphosphate synthase, type I",,39949,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1429,A0A1C4VPG9,Iron complex transport system ATP-binding protein,,29281,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1430,A0A1C4VP53,Iron complex transport system substrate-binding protein,,34215,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1431,A0A1C4VPJ6,Iron complex transport system permease protein,,70700,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1432,A0A1C4VPK1,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains",,32857,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1433,A0A1C4VPM6,Lysine N-acyltransferase MbtK (Mycobactin synthase protein K),,20790,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1434,A0A1C4VPA5,Penicillin amidase,,74390,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1435,A0A1C4VP78,"L-2,4-diaminobutyrate decarboxylase",,56387,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1436,A0A1C4VPB2,L-lysine N6-monooxygenase MbtG (EC 1.14.13.59) (Lysine 6-N-hydroxylase) (Lysine N6-hydroxylase) (Lysine-N-oxygenase) (Mycobactin synthase protein G),1.14.13.59,48820,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1437,A0A1C4VQ11,Lysine N-acyltransferase MbtK (Mycobactin synthase protein K),,22022,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1438,A0A1C4VQ32,Siderophore synthetase component,,68472,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1439,A0A1C4VPW7,Uncharacterized conserved protein,,14410,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1440,A0A1C4VPE4,"RNA polymerase, sigma subunit, ECF family",,45756,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1441,A0A1C4VQ91,DUF4383 domain-containing protein,,15996,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1442,A0A1C4VPL9,F5/8 type C domain-containing protein,,39849,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1443,A0A1C4VQ42,Secreted protein,,20790,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1444,A0A1C4VPP2,DinB superfamily protein,,20555,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1445,A0A1C4VPN3,EVE domain-containing protein,,15562,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1446,A0A1C4VQF2,"Uncharacterized conserved protein YjbJ, UPF0337 family",,6217,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1447,A0A1C4VPN9,Cu+-exporting ATPase,,77333,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1448,A0A1C4VQ95,Heavy-metal-associated domain-containing protein,,30840,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1449,A0A1C4VPX8,Copper ion binding protein,,6957,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1450,A0A1C4VPY9,"DNA-binding transcriptional regulator, FrmR family",,10768,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1451,A0A1C4VQM1,DUF397 domain-containing protein,,6699,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1452,A0A1C4VQ15,Helix-turn-helix domain-containing protein,,29839,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1453,A0A1C4VQ48,Uncharacterized protein,,24143,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1454,A0A1C4VQ18,DivIVA domain-containing protein,,10039,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1455,A0A1C4VQJ3,Secreted protein,,8952,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1456,A0A1C4VQ65,Uncharacterized membrane protein,,44382,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1457,A0A1C4VQM8,N-terminal domain of peptidoglycan hydrolase CwlO-containing protein,,36813,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1458,A0A1C4VQA8,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),4.2.1.1,23175,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1459,A0A1C4VQP8,MarR family protein,,12647,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1460,A0A1C4VQC8,Uncharacterized protein,,12663,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1461,A0A1C4VQR3,AP2/ERF domain-containing protein,,29261,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1462,A0A1C4VQC3,PPOX class probable F420-dependent enzyme,,15094,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1463,A0A1C4VQD1,Peptidase_C39 like family protein,,26717,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1464,A0A1C4VQH5,Hemerythrin HHE cation binding domain-containing protein,,22438,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1465,A0A1C4VQC0,Ferredoxin,,7984,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1466,A0A1C4VQH0,Cytochrome P450,,43810,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1467,A0A1C4VQI2,MT0933-like antitoxin protein,,6733,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1468,A0A1C4VR07,Predicted PurR-regulated permease PerM,,40802,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1469,A0A1C4VR23,Dienelactone hydrolase,,23455,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1470,A0A1C4VRC2,Uncharacterized protein,,6514,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1471,A0A1C4VQR7,"Alpha,alpha-trehalose phosphorylase",,89016,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1472,A0A1C4VQS2,"Haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED/beta-phosphoglucomutase family hydrolase",,26291,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1473,A0A1C4VQT9,"Acyl-coenzyme A thioesterase PaaI, contains HGG motif",,16117,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1474,A0A1C4VQV7,Multiple sugar transport system ATP-binding protein,,47641,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1475,A0A1C4VRI3,CDP-glycerol:poly(Glycerophosphate) glycerophosphotransferase,,82499,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1476,A0A1C4VQV1,CDP-alcohol phosphatidyltransferase,,68812,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1477,A0A1C4VQZ3,ABC-2 type transport system ATP-binding protein,,27020,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1478,A0A1C4VR05,Transport permease protein,,30030,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1479,A0A1C4VR17,L-serine dehydratase (EC 4.3.1.17),4.3.1.17,47881,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1480,A0A1C4VQZ6,Phage shock protein C (PspC) family protein,,7649,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1481,A0A1C4VRS3,DUF4230 domain-containing protein,,28198,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1482,A0A1C4VRT1,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),6.1.1.19,62027,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1483,A0A1C4VR66,"Transcriptional regulator, ArsR family",,12653,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1484,A0A1C4VR46,"Uncharacterized conserved protein YndB, AHSA1/START domain",,18579,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1485,A0A1C4VR43,Glutaryl-CoA dehydrogenase,,41933,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1486,A0A1C4VR33,Transcription regulator of the Arc/MetJ class,,11729,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1487,A0A1C4VRP6,Nitroreductase,,23997,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1488,A0A1C4VR52,Aldose 1-epimerase,,33211,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1489,A0A1C4VRB2,"Predicted arabinose efflux permease, MFS family",,46254,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1490,A0A1C4VS36,Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase),1.4.3.5,24234,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1491,A0A1C4VR87,citrate synthase (unknown stereospecificity) (EC 2.3.3.16),2.3.3.16,39927,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1492,A0A1C4VRG7,Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase),2.6.1.52,42178,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1493,A0A1C4VRJ1,DUF3071 domain-containing protein,,37708,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1494,A0A1C4VRD4,Predicted oxidoreductase,,35540,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1495,A0A1C4VRZ4,"RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58)",3.1.4.58,20859,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1496,A0A1C4VRM0,Uncharacterized protein,,18448,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1497,A0A1C4VS25,"Predicted arabinose efflux permease, MFS family",,47651,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1498,A0A1C4VRN8,"DNA-binding transcriptional regulator, MarR family",,16189,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1499,A0A1C4VRQ3,"Putative MFS transporter, AGZA family, xanthine/uracil permease",,51057,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1500,A0A1C4VRR4,DUF2530 domain-containing protein,,9562,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1501,A0A1C4VRP4,DUF3027 family protein,,29627,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1502,A0A1C4VRS7,Major Facilitator Superfamily protein,,60656,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1503,A0A1C4VRN1,Futalosine hydrolase (FL hydrolase) (EC 3.2.2.26) (Futalosine nucleosidase) (Menaquinone biosynthetic enzyme MqnB),3.2.2.26,21818,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1504,A0A1C4VRV8,Acetyltransferase (GNAT) family protein,,30762,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1505,A0A1C4VRY1,"1,4-dihydroxy-6-naphtoate synthase (EC 4.1.-.-) (Menaquinone biosynthetic enzyme MqnD)",4.1.-.-,30731,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1506,A0A1C4VRZ5,Cold-shock DNA-binding protein family,,14007,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1507,A0A1C4VS06,Phosphoglycolate phosphatase,,21574,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1508,A0A1C4VRV0,Helicase conserved C-terminal domain-containing protein,,86374,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1509,A0A1C4VS03,MYXO-CTERM domain-containing protein,,11099,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1510,A0A1C4VS27,"L,D-transpeptidase catalytic domain",,30766,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1511,A0A1C4VSJ9,DNA 3'-5' helicase (EC 5.6.2.4),5.6.2.4,61601,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1512,A0A1C4VS77,Uncharacterized protein,,21154,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1513,A0A1C4VS56,"Regulatory protein, gntR family",,7906,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1514,A0A1C4VS26,DivIVA domain-containing protein,,12520,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1515,A0A1C4VS81,Uncharacterized protein,,10193,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1516,A0A1C4VSR2,3-oxoacyl-[acyl-carrier-protein] synthase-3,,36631,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1517,A0A1C4VSA9,"Beta-xylosidase, GH43 family",,72153,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1518,A0A1C4VSE3,Bifunctional non-homologous end joining protein LigD,,33348,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1519,A0A1C4VSE7,DNA ligase (ATP) (EC 6.5.1.1),6.5.1.1,33705,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1520,A0A1C4VS95,Non-homologous end joining protein Ku,,36802,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1521,A0A1C4VSG5,PPOX class probable F420-dependent enzyme,,14638,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1522,A0A1C4VSI7,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),5.2.1.8,22031,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1523,A0A1C4VSL1,SalK,,31156,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1524,A0A1C4VSL6,"Haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",,22879,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1525,A0A1C4VSK4,NADPH2:quinone reductase,,35452,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1526,A0A1C4VSN2,Fatty-acyl-CoA synthase,,59258,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1527,A0A1C4VSP0,"ADP-ribose pyrophosphatase YjhB, NUDIX family",,18079,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1528,A0A1C4VSS0,"Predicted arabinose efflux permease, MFS family",,45632,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1529,A0A1C4VSS6,Protease I,,19631,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1530,A0A1C4VST3,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70),2.7.7.70,70538,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1531,A0A1C4VST7,Glycosyl transferase family 2,,36043,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1532,A0A1C4VTC3,ADP-heptose:LPS heptosyltransferase,,39233,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1533,A0A1C4VSW8,HSP20 family protein,,23074,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1534,A0A1C4VTF0,Uncharacterized membrane protein,,17594,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1535,A0A1C4VTF3,Pyridoxamine 5'-phosphate oxidase putative domain-containing protein,,23034,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1536,A0A1C4VT08,Uncharacterized protein,,10766,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1537,A0A1C4VT39,DivIVA domain-containing protein,,11911,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1538,A0A1C4VSZ1,"Regulatory protein, gntR family",,7697,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1539,A0A1C4VTY0,Methyltransferase domain-containing protein,,30728,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1540,A0A1C4VT21,"Protein N-acetyltransferase, RimJ/RimL family",,23828,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1541,A0A1C4VTN1,"NTP pyrophosphatase, house-cleaning of non-canonical NTPs",,12744,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1542,A0A1C4VTA3,Uncharacterized protein,,13063,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1543,A0A1C4VTS5,DUF1877 family protein,,17212,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1544,A0A1C4VTS7,Secreted protein,,12583,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1545,A0A1C4VTC2,Uncharacterized protein,,20202,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1546,A0A1C4VTG3,"Predicted kinase, aminoglycoside phosphotransferase (APT) family",,32359,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1548,A0A1C4VTE8,ABC-2 type transport system permease protein,,24991,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1549,A0A1C4VTJ3,ABC transporter,,29504,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1550,A0A1C4VTZ5,"PadR family transcriptional regulator, regulatory protein PadR",,16518,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1552,A0A1C4VTK2,Calcineurin-like phosphoesterase,,63602,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1553,A0A1C4VTM5,"Cell fate regulator YaaT, PSP1 superfamily (Controls sporulation, competence, biofilm development)",,31300,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1554,A0A1C4VTN2,Uncharacterized protein,,27139,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1555,A0A1C4VUF7,PPE family protein,,21686,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1556,A0A1C4VTQ4,YbaB/EbfC DNA-binding family protein,,11863,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1557,A0A1C4VTQ8,DNA-directed DNA polymerase (EC 2.7.7.7),2.7.7.7,42361,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1558,A0A1C4VTV4,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),2.7.4.9,75597,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1559,A0A1C4VTT9,"D-serine deaminase, pyridoxal phosphate-dependent",,42477,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1560,A0A1C4VTU8,"Transcriptional regulator, TetR family",,25160,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1561,A0A1C4VUF1,L-gulonolactone oxidase,,47811,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1562,A0A1C4VU09,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),5.6.2.1,103487,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1563,A0A1C4VUG1,Uncharacterized protein,,29319,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1564,A0A1C4VU40,Lipoprotein,,19014,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1565,A0A1C4VUL0,K(+)-insensitive pyrophosphate-energized proton pump (EC 7.1.3.1) (Membrane-bound proton-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (H(+)-PPase),7.1.3.1,79713,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1566,A0A1C4VU52,Anti-sigma regulatory factor (Ser/Thr protein kinase),,15287,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1567,A0A1C4VU17,Anti-sigma factor antagonist,,12427,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1568,A0A1C4VU61,DEAD/DEAH box helicase domain-containing protein,,83089,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1569,A0A1C4VU38,Uncharacterized protein,,7544,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1570,A0A1C4VU94,Uncharacterized protein YxjI,,21956,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1571,A0A1C4VUC5,Helicase/secretion neighborhood TadE-like protein,,18263,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1572,A0A1C4VUD2,TadE-like protein,,9513,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1573,A0A1C4VUD1,DUF4244 domain-containing protein,,5720,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1574,A0A1C4VUE5,Flp pilus assembly protein TadB,,29439,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1575,A0A1C4VV71,Tight adherence protein B,,38747,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1576,A0A1C4VUI9,Pilus assembly protein CpaF,,42989,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1577,A0A1C4VUD7,Helicase/secretion neighborhood CpaE-like protein,,37611,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1578,A0A1C4VUJ8,von Hippel-Lindau disease tumour suppressor protein,,23029,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1579,A0A1C4VUM9,Pimeloyl-ACP methyl ester carboxylesterase,,29544,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1580,A0A1C4VV56,"RNA polymerase, sigma subunit, ECF family",,39077,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1581,A0A1C4VUL5,Uncharacterized protein,,10369,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1582,A0A1C4VUR6,"RNA polymerase sigma-70 factor, ECF subfamily",,20591,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1583,A0A1C4VUL6,Exo-alpha-sialidase,,43908,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1584,A0A1C4VUM5,Uncharacterized protein,,16725,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1588,A0A1C4VV90,"HAD-superfamily subfamily IB hydrolase, TIGR01490",,29348,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1589,A0A1C4VUV5,Polyketide cyclase / dehydrase and lipid transport,,31207,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1590,A0A1C4VVN2,Protein-S-isoprenylcysteine O-methyltransferase Ste14,,46614,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1591,A0A1C4VUY0,"Transcriptional regulator, TetR family",,22170,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1592,A0A1C4VVE3,Fido domain-containing protein,,25805,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1593,A0A1C4VV05,Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme),6.2.1.1,71397,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1594,A0A1C4VV29,Immune inhibitor A,,100694,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1595,A0A1C4VV15,Immune inhibitor A,,88331,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1596,A0A1C4VV23,Pimeloyl-ACP methyl ester carboxylesterase,,34414,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1597,A0A1C4VV62,Uncharacterized protein,,13767,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1598,A0A1C4VVY6,SseB protein N-terminal domain-containing protein,,99088,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1599,A0A1C4VVS0,Type VII secretion-associated serine protease mycosin,,40479,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1600,A0A1C4VV57,ESAT-6-like protein,,10750,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1601,A0A1C4VV76,ESAT-6-like protein,,11569,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1602,A0A1C4VVC6,Type VII secretion protein EccE,,64477,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1603,A0A1C4VW42,Putative membrane protein,,13929,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1604,A0A1C4VVD1,Acetyltransferase (GNAT) family protein,,16537,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1605,A0A1C4VVD8,Chloramphenicol-sensitive protein RarD,,41683,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1606,A0A1C4VVH6,Putative zinc-finger,,24406,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1607,A0A1C4VVJ9,"RNA polymerase sigma-70 factor, ECF subfamily",,21328,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1608,A0A1C4VVL1,Phosphatase,,75582,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1609,A0A1C4VWA8,"Transcriptional regulator, IclR family",,28395,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1610,A0A1C4VVK1,"Predicted arabinose efflux permease, MFS family",,38393,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1611,A0A1C4VVM6,Heptaprenyl diphosphate synthase,,37824,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1612,A0A1C4VVN3,NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N),7.1.1.-,53921,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1613,A0A1C4VVR3,NADH dehydrogenase subunit M,,54857,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1614,A0A1C4VVS3,NADH dehydrogenase subunit L,,68586,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1615,A0A1C4VVS7,NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K),7.1.1.-,10814,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1616,A0A1C4VWC4,NADH-quinone oxidoreductase subunit J (EC 7.1.1.-),7.1.1.-,27060,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1617,A0A1C4VWD5,NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I),7.1.1.-,23674,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1618,A0A1C4VVV6,NADH-quinone oxidoreductase subunit H (EC 7.1.1.-) (NADH dehydrogenase I subunit H) (NDH-1 subunit H),7.1.1.-,49474,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1619,A0A1C4VVW6,NADH-quinone oxidoreductase (EC 7.1.1.-),7.1.1.-,88762,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1620,A0A1C4VVS2,NADH-quinone oxidoreductase subunit F (EC 7.1.1.-),7.1.1.-,47957,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1621,A0A1C4VVX9,NADH dehydrogenase subunit E,,36343,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_1622,A0A1C4VW15,NADH-quinone oxidoreductase subunit D (EC 7.1.1.-) (NADH dehydrogenase I subunit D) (NDH-1 subunit D),7.1.1.-,48996,Micromonospora echinospora (Micromonospora purpurea)
